Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src
durable-gold-sunglasses,Durable Gold Sunglasses,"<p>This is a highly reliable durable gold sunglasses, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Sunglasses,"apparel, accessories, durable, gold",TRUE,Color,Gold,SKU-46769,250,shopify,142,deny,manual,100.37,,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?random=158
premium-pink-dinner-plate,Premium Pink Dinner Plate,"<p>This is a highly reliable premium pink dinner plate, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Dinner Plate,"kitchen, dining, premium, pink",TRUE,Color,Pink,SKU-83263,500,shopify,368,deny,manual,95.82,,TRUE,TRUE,https://images.unsplash.com/photo-1556910103-1c02745a872f?random=633
luxury-purple-stapler,Luxury Purple Stapler,"<p>This is a highly reliable luxury purple stapler, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Stapler,"office, stationary, luxury, purple",TRUE,Color,Purple,SKU-94000,250,shopify,155,deny,manual,126.11,,TRUE,TRUE,https://images.unsplash.com/photo-1497032628192-86f99bcd76bc?random=872
ultra-black-first-aid-kit,Ultra Black First Aid Kit,"<p>This is a highly reliable ultra black first aid kit, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,First Aid Kit,"health, safety, ultra, black",TRUE,Color,Black,SKU-13126,100,shopify,468,deny,manual,50.37,,TRUE,TRUE,https://images.unsplash.com/photo-1583947215259-38e31be8751f?random=788
smart-brown-extension-cord,Smart Brown Extension Cord,"<p>This is a highly reliable smart brown extension cord, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Extension Cord,"electronics, tech, smart, brown",TRUE,Color,Brown,SKU-42601,500,shopify,82,deny,manual,23.85,28.62,TRUE,TRUE,https://images.unsplash.com/photo-1498049794561-7780e7231661?random=788
everyday-gray-food-storage-container,Everyday Gray Food Storage Container,"<p>This is a highly reliable everyday gray food storage container, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Food Storage Container,"kitchen, dining, everyday, gray",TRUE,Color,Gray,SKU-75414,500,shopify,123,deny,manual,46.79,56.15,TRUE,TRUE,https://images.unsplash.com/photo-1556910103-1c02745a872f?random=737
basic-orange-first-aid-kit,Basic Orange First Aid Kit,"<p>This is a highly reliable basic orange first aid kit, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,First Aid Kit,"health, safety, basic, orange",TRUE,Color,Orange,SKU-11247,1000,shopify,350,deny,manual,51.9,,TRUE,TRUE,https://images.unsplash.com/photo-1583947215259-38e31be8751f?random=535
essential-orange-aa-batteries,Essential Orange AA Batteries,"<p>This is a highly reliable essential orange aa batteries, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,AA Batteries,"electronics, tech, essential, orange",TRUE,Color,Orange,SKU-97336,100,shopify,64,deny,manual,107.92,,TRUE,TRUE,https://images.unsplash.com/photo-1498049794561-7780e7231661?random=439
modern-navy-bed-sheets,Modern Navy Bed Sheets,"<p>This is a highly reliable modern navy bed sheets, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Bed Sheets,"home, bedroom, modern, navy",TRUE,Color,Navy,SKU-83696,250,shopify,287,deny,manual,93.47,112.16,TRUE,TRUE,https://images.unsplash.com/photo-1513694203232-719a280e022f?random=586
eco-friendly-gold-daily-vitamins,Eco-friendly Gold Daily Vitamins,"<p>This is a highly reliable eco-friendly gold daily vitamins, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Daily Vitamins,"health, safety, eco-friendly, gold",TRUE,Color,Gold,SKU-47956,250,shopify,154,deny,manual,44.96,53.95,TRUE,TRUE,https://images.unsplash.com/photo-1583947215259-38e31be8751f?random=447
basic-orange-eraser,Basic Orange Eraser,"<p>This is a highly reliable basic orange eraser, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Eraser,"office, stationary, basic, orange",TRUE,Color,Orange,SKU-31003,250,shopify,486,deny,manual,90.91,,TRUE,TRUE,https://images.unsplash.com/photo-1497032628192-86f99bcd76bc?random=124
pro-navy-light-bulb,Pro Navy Light Bulb,"<p>This is a highly reliable pro navy light bulb, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Light Bulb,"electronics, tech, pro, navy",TRUE,Color,Navy,SKU-55904,250,shopify,69,deny,manual,79.55,,TRUE,TRUE,https://images.unsplash.com/photo-1498049794561-7780e7231661?random=135
durable-brown-trash-bags,Durable Brown Trash Bags,"<p>This is a highly reliable durable brown trash bags, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Trash Bags,"cleaning, household, durable, brown",TRUE,Color,Brown,SKU-82110,100,shopify,445,deny,manual,40.95,,TRUE,TRUE,https://images.unsplash.com/photo-1584820927498-cafe2c111059?random=157
classic-pink-face-wash,Classic Pink Face Wash,"<p>This is a highly reliable classic pink face wash, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Face Wash,"personal care, classic, pink",TRUE,Color,Pink,SKU-57724,500,shopify,172,deny,manual,50.57,60.68,TRUE,TRUE,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?random=489
smart-brown-wall-clock,Smart Brown Wall Clock,"<p>This is a highly reliable smart brown wall clock, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Wall Clock,"home, bedroom, smart, brown",TRUE,Color,Brown,SKU-69294,500,shopify,367,deny,manual,136.3,163.56,TRUE,TRUE,https://images.unsplash.com/photo-1513694203232-719a280e022f?random=279
minimalist-purple-wireless-earbuds,Minimalist Purple Wireless Earbuds,"<p>This is a highly reliable minimalist purple wireless earbuds, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Wireless Earbuds,"electronics, tech, minimalist, purple",TRUE,Color,Purple,SKU-69725,250,shopify,487,deny,manual,53.02,63.62,TRUE,TRUE,https://images.unsplash.com/photo-1498049794561-7780e7231661?random=845
minimalist-white-dental-floss,Minimalist White Dental Floss,"<p>This is a highly reliable minimalist white dental floss, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Dental Floss,"personal care, minimalist, white",TRUE,Color,White,SKU-69246,500,shopify,244,deny,manual,71.51,,TRUE,TRUE,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?random=776
eco-friendly-silver-winter-jacket,Eco-friendly Silver Winter Jacket,"<p>This is a highly reliable eco-friendly silver winter jacket, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Winter Jacket,"apparel, accessories, eco-friendly, silver",TRUE,Color,Silver,SKU-41875,250,shopify,387,deny,manual,83.42,100.1,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?random=593
essential-white-food-storage-container,Essential White Food Storage Container,"<p>This is a highly reliable essential white food storage container, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Food Storage Container,"kitchen, dining, essential, white",TRUE,Color,White,SKU-40214,500,shopify,134,deny,manual,80.62,,TRUE,TRUE,https://images.unsplash.com/photo-1556910103-1c02745a872f?random=508
classic-gold-backpack,Classic Gold Backpack,"<p>This is a highly reliable classic gold backpack, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Backpack,"apparel, accessories, classic, gold",TRUE,Color,Gold,SKU-53970,100,shopify,422,deny,manual,56.41,,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?random=208
pro-green-ironing-board,Pro Green Ironing Board,"<p>This is a highly reliable pro green ironing board, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Ironing Board,"cleaning, household, pro, green",TRUE,Color,Green,SKU-93154,100,shopify,221,deny,manual,70.25,,TRUE,TRUE,https://images.unsplash.com/photo-1584820927498-cafe2c111059?random=319
basic-white-mop,Basic White Mop,"<p>This is a highly reliable basic white mop, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Mop,"cleaning, household, basic, white",TRUE,Color,White,SKU-44963,100,shopify,181,deny,manual,46.15,,TRUE,TRUE,https://images.unsplash.com/photo-1584820927498-cafe2c111059?random=897
modern-yellow-screen-protector,Modern Yellow Screen Protector,"<p>This is a highly reliable modern yellow screen protector, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Screen Protector,"electronics, tech, modern, yellow",TRUE,Color,Yellow,SKU-80382,1000,shopify,156,deny,manual,74.52,,TRUE,TRUE,https://images.unsplash.com/photo-1498049794561-7780e7231661?random=95
luxury-yellow-desk-lamp,Luxury Yellow Desk Lamp,"<p>This is a highly reliable luxury yellow desk lamp, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Desk Lamp,"home, bedroom, luxury, yellow",TRUE,Color,Yellow,SKU-39090,250,shopify,98,deny,manual,149.12,,TRUE,TRUE,https://images.unsplash.com/photo-1513694203232-719a280e022f?random=392
vintage-yellow-winter-jacket,Vintage Yellow Winter Jacket,"<p>This is a highly reliable vintage yellow winter jacket, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Winter Jacket,"apparel, accessories, vintage, yellow",TRUE,Color,Yellow,SKU-11559,250,shopify,68,deny,manual,30.26,,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?random=414
minimalist-gray-digital-thermometer,Minimalist Gray Digital Thermometer,"<p>This is a highly reliable minimalist gray digital thermometer, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Digital Thermometer,"health, safety, minimalist, gray",TRUE,Color,Gray,SKU-66380,100,shopify,202,deny,manual,149.85,,TRUE,TRUE,https://images.unsplash.com/photo-1583947215259-38e31be8751f?random=760
eco-friendly-blue-cotton-underwear,Eco-friendly Blue Cotton Underwear,"<p>This is a highly reliable eco-friendly blue cotton underwear, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Cotton Underwear,"apparel, accessories, eco-friendly, blue",TRUE,Color,Blue,SKU-70086,100,shopify,355,deny,manual,133.28,159.94,TRUE,TRUE,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?random=63
luxury-silver-daily-vitamins,Luxury Silver Daily Vitamins,"<p>This is a highly reliable luxury silver daily vitamins, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Daily Vitamins,"health, safety, luxury, silver",TRUE,Color,Silver,SKU-95360,500,shopify,48,deny,manual,131.62,157.94,TRUE,TRUE,https://images.unsplash.com/photo-1583947215259-38e31be8751f?random=978
premium-black-laundry-detergent,Premium Black Laundry Detergent,"<p>This is a highly reliable premium black laundry detergent, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Laundry Detergent,"cleaning, household, premium, black",TRUE,Color,Black,SKU-88037,1000,shopify,321,deny,manual,82.35,,TRUE,TRUE,https://images.unsplash.com/photo-1584820927498-cafe2c111059?random=306
modern-white-area-rug,Modern White Area Rug,"<p>This is a highly reliable modern white area rug, perfect for everyday human usage. Built with durability and practicality in mind to serve your daily needs.</p>",AI Salesman Hub,Area Rug,"home, bedroom, modern, white",TRUE,Color,White,SKU-13175,500,shopify,156,deny,manual,63.21,75.85,TRUE,TRUE,https://images.unsplash.com/photo-1513694203232-719a280e022f?random=996
